DATE_TIME,STATION,TOTAL_TRAFFIC,date,time
3/10/17 16:00,23 ST,67401.5,3/10/17,16:00:00
3/9/17 16:00,TIMES SQ-42 ST,67391,3/9/17,16:00:00
5/19/17 16:00,23 ST,67348.5,5/19/17,16:00:00
5/19/17 12:00,34 ST-PENN STA,67286,5/19/17,12:00:00
5/25/17 12:00,34 ST-PENN STA,67226.875,5/25/17,12:00:00
5/25/17 16:00,23 ST,67141.35714,5/25/17,16:00:00
5/5/17 12:00,GRD CNTRL-42 ST,67118.2,5/5/17,12:00:00
3/7/17 8:00,34 ST-HERALD SQ,67052,3/7/17,8:00:00
4/21/17 12:00,GRD CNTRL-42 ST,66939.125,4/21/17,12:00:00
4/25/17 8:00,GRD CNTRL-42 ST,66878.35,4/25/17,8:00:00
4/10/17 8:00,GRD CNTRL-42 ST,66864.30357,4/10/17,8:00:00
3/8/17 16:00,TIMES SQ-42 ST,66809,3/8/17,16:00:00
4/3/17 16:00,23 ST,66757,4/3/17,16:00:00
4/13/17 12:00,GRD CNTRL-42 ST,66710.80357,4/13/17,12:00:00
4/11/17 8:00,GRD CNTRL-42 ST,66518.30357,4/11/17,8:00:00
3/31/17 12:00,34 ST-PENN STA,66341.25,3/31/17,12:00:00
4/12/17 8:00,GRD CNTRL-42 ST,66295.05357,4/12/17,8:00:00
5/18/17 12:00,GRD CNTRL-42 ST,66261.6929,5/18/17,12:00:00
3/13/17 20:00,GRD CNTRL-42 ST,66235.61177,3/13/17,20:00:00
5/12/17 12:00,GRD CNTRL-42 ST,66165.6929,5/12/17,12:00:00
5/15/17 16:00,23 ST,66082,5/15/17,16:00:00
4/7/17 16:00,23 ST,65928.25,4/7/17,16:00:00
5/22/17 12:00,GRD CNTRL-42 ST,65800.9429,5/22/17,12:00:00
3/16/17 12:00,34 ST-PENN STA,65771.59,3/16/17,12:00:00
4/28/17 16:00,23 ST,65737.75,4/28/17,16:00:00
4/3/17 8:00,GRD CNTRL-42 ST,65730.11607,4/3/17,8:00:00
4/13/17 16:00,23 ST,65663.5,4/13/17,16:00:00
3/2/17 16:00,TIMES SQ-42 ST,65663,3/2/17,16:00:00
5/12/17 16:00,23 ST,65634,5/12/17,16:00:00
4/7/17 12:00,GRD CNTRL-42 ST,65494.30357,4/7/17,12:00:00
4/27/17 8:00,GRD CNTRL-42 ST,65434.65,4/27/17,8:00:00
5/22/17 16:00,23 ST,65358.25,5/22/17,16:00:00
3/31/17 16:00,23 ST,65275.5,3/31/17,16:00:00
4/21/17 12:00,34 ST-PENN STA,65261.55,4/21/17,12:00:00
3/8/17 8:00,34 ST-HERALD SQ,65148,3/8/17,8:00:00
4/21/17 8:00,GRD CNTRL-42 ST,65136,4/21/17,8:00:00
5/16/17 12:00,34 ST-PENN STA,65132.43385,5/16/17,12:00:00
3/31/17 8:00,GRD CNTRL-42 ST,65112.05357,3/31/17,8:00:00
5/1/17 16:00,23 ST,64998.75,5/1/17,16:00:00
4/21/17 16:00,23 ST,64983,4/21/17,16:00:00
4/13/17 16:00,TIMES SQ-42 ST,64896.5,4/13/17,16:00:00
